100,0.0625,0.1,0.025,0.0,0.0,1.5414187908172607
100,0.0625,0.1,0.025,0.0,0.0,1.519641399383545
100,0.0625,0.1,0.025,0.0,0.0,1.5205175876617432
100,0.0625,0.1,0.05,0.0,0.0,1.5240020751953125
100,0.0625,0.1,0.075,0.0,0.0,1.5251264572143555
250,0.0625,0.1,0.025,0.0,0.0,1.5305330753326416
250,0.0625,0.1,0.05,0.0,0.0,1.5251429080963135
250,0.0625,0.1,0.075,0.0,0.0,1.526271104812622
500,0.0625,0.1,0.025,0.0,0.0,1.5221073627471924
500,0.0625,0.1,0.05,0.0,0.0,1.529176950454712
500,0.0625,0.1,0.075,0.0,0.0,1.5257127285003662
250,0.0625,0.1,0.025,0.0,0.0,1.5373728275299072
250,0.0625,0.1,0.05,0.0,0.0,1.5303676128387451
250,0.0625,0.1,0.075,0.0,0.0,1.5230746269226074
1000,0.0625,0.1,0.025,0.0,0.0,1.5303270816802979
1000,0.0625,0.1,0.05,0.0,0.0,1.5427179336547852
1000,0.0625,0.1,0.075,0.0,0.0,1.5351603031158447
2500,0.0625,0.1,0.025,0.0,0.0,1.5407485961914062
2500,0.0625,0.1,0.05,0.0,0.0,1.5462794303894043
2500,0.0625,0.1,0.075,0.0,0.0,1.5463485717773438
5000,0.0625,0.1,0.025,0.0,0.0,1.5570600032806396
5000,0.0625,0.1,0.05,0.0,0.0,1.566880226135254
5000,0.0625,0.1,0.075,0.0,0.0,1.5747637748718262
100,0.0625,0.25,0.025,0.0,0.0,3.3029186725616455
100,0.0625,0.25,0.05,0.0,0.0,3.2880170345306396
100,0.0625,0.25,0.075,0.0,0.0,3.3079910278320312
100,0.0625,0.25,0.125,0.0,0.0,3.289486885070801
250,0.0625,0.25,0.025,0.0,0.0,3.3168985843658447
250,0.0625,0.25,0.05,0.0,0.0,3.307041645050049
250,0.0625,0.25,0.075,0.0,0.0,3.3108227252960205
250,0.0625,0.25,0.125,0.0,0.0,3.3274309635162354
500,0.0625,0.25,0.025,0.0,0.0,3.3228917121887207
500,0.0625,0.25,0.05,0.0,0.0,3.3335859775543213
