0.5;0;0;9390.4617641001186712;8284.5317728392310528;9395.3461216083087493;8282.6885718595385697
0.49901336421413577948;0.03139525976465668694;0;9371.9318328556182678;8268.1841418068052008;9376.812535075325286;8266.3487248904657463
0.49605735065723893795;0.062666616782152129161;0;9316.4151682952142437;8219.2057653406936879;9321.2841644025083951;8217.3925812386041798
0.49114362536434436057;0.093690657292862314365;0;9224.130869330778296;8137.7899387167171881;9228.9781694659359346;8136.0123751855871888
0.48429158056431553803;0.12434494358242739742;0;9095.4431399296354357;8024.2579730072047823;9100.2558190013660351;8022.5277687824709574
0.47552825814757676559;0.15450849718747369788;0;8930.8598517679074575;7879.0579270129837823;8935.6214519260902307;7877.3847246128898405
0.46488824294412567362;0.18406227634233898738;0;8731.0305398930067895;7702.7628389800192963;8735.720952980362199;7701.1539139147325841
0.4524135262330097329;0.21288964578253635751;0;8496.743839305569054;7496.0684650792081811;8501.3396840112964128;7494.5286512995244266
0.43815334002193179197;0.24087683705085766173;0;8228.924372577417671;7259.7905335746490891;8233.3998115137474088;7258.322348089451225
0.42216396275100753765;0.26791339748949832833;0;7928.6291007886475199;6994.8615255168788281;7932.956981285044094;6993.4654775233047985
0.40450849718747372563;0.29389262614623656855;0;7597.0431521851460275;6702.3269946661494032;7601.196311816310299;6701.0020461761314436
0.38525662138789457112;0.31871199487434487274;0;7235.475145018841431;6383.341441169412974;7239.4277059783125878;6382.0855671089002499
0.36448431371070577622;0.34227355296434436305;0;6845.3520230293115674;6039.1637552756874356;6849.0805096491858421;6037.9745327997397908
0.34227355296434430754;0.36448431371070577622;0;6428.2134239487450031;5671.1522490713632578;6431.6974132514342273;5670.028102116077207
0.31871199487434481723;0.38525662138789462663;0;5985.7056032552209217;5280.759295842962274;5988.928357017262897;5279.6995433446263633
0.29389262614623651304;0.40450849718747372563;0;5519.5749371544143287;4869.5255982233120449;5522.5234391647309167;4868.5311315007029407
0.26791339748949827282;0.42216396275100753765;0;5031.6610304305804675;4439.0741077421089358;5034.3257667017587664;4438.1476941967357561
0.24087683705085757846;0.43815334002193184748;0;4523.8894563669064155;3991.1036197776952577;4526.2639605094609578;3990.2499799516122039
0.21288964578253632975;0.45241352623300978841;0;3998.264157387450723;3527.382069187822708;4000.3444181504119115;3526.6077150837572844
0.18406227634233893187;0.46488824294412572913;0;3456.8595364119273654;3049.7395530784428956;3458.6433639723213673;3049.052402245257781
0.15450849718747372563;0.47552825814757676559;0;2901.8122701350880561;2560.0611082465320578;2903.2987027383182976;2559.4699130562253231
0.12434494358242736967;0.48429158056431553803;0;2335.3128765399437725;2060.2792718010409772;2336.5016842055670168;2059.7929236973554907
0.093690657292862258854;0.49114362536434436057;0;1759.5970699240622253;1552.3664543218178551;1760.4883827789874431;1551.99323643677576
0.062666616782152129161;0.49605735065723893795;0;1176.9369375566288909;1038.3271556561587659;1177.53099882647507;1038.0740227105331996
0.031395259764656652246;0.49901336421413577948;0;589.63197278799839296;520.1900540736783114;589.92899579791480846;520.06201544521832147
-8.04061324838318177e-17;0.5;0;-1.5101014253771826586e-12;-1.3322543185868505109e-12;9.8369265240982883824e-05;-0.0003292709750564171145
-0.031395259764656700818;0.49901336421413577948;0;-589.63197278799941614;-520.19005407367899352;-589.92881098855696109;-520.06268743637974694
-0.062666616782152184673;0.49605735065723888244;0;-1176.9369375566307099;-1038.3271556561589932;-1177.5308492073954767;-1038.0747300798559536
-0.093690657292862411509;0.49114362536434430506;0;-1759.5970699240665454;-1552.3664543218192193;-1760.4882897822390078;-1551.9939869530246597
-0.12434494358242742518;0.48429158056431553803;0;-2335.3128765399424083;-2060.2792718010432509;-2336.5016661097592987;-2059.7937039224921136
-0.15450849718747378114;0.47552825814757676559;0;-2901.8122701350866919;-2560.0611082465347863;-2903.2987732501615028;-2559.4706845541436451
-0.18406227634233898738;0.46488824294412567362;0;-3456.8595364119314581;-3049.7395530784415314;-3458.6435307895080769;-3049.0531017220432659
-0.21288964578253635751;0.4524135262330097329;0;-3998.2641573874516325;-3527.3820691878236175;-4000.3446816624295934;-3526.6082586102916139
-0.24087683705085771724;0.43815334002193173646;0;-4523.8894563669082345;-3991.1036197776975314;-4526.2643128542749764;-3990.2502708700908443
-0.26791339748949843935;0.42216396275100748214;0;-5031.6610304305841055;-4439.0741077421116643;-5034.3261914175245693;-4438.1476338054626467
-0.29389262614623651304;0.40450849718747372563;0;-5519.5749371544143287;-4869.5255982233120449;-5522.5239116404727611;-4868.5306312239090403
-0.31871199487434487274;0.38525662138789462663;0;-5985.7056032552181932;-5280.7592958429686405;-5988.928845858044042;-5279.6985368614969047
-0.34227355296434436305;0.36448431371070572071;0;-6428.2134239487513696;-5671.1522490713596198;-6431.6978825456299091;-5670.0265558914534267
-0.36448431371070583173;0.34227355296434425203;0;-6845.3520230293124769;-6039.1637552756874356;-6849.0809219866696367;-6037.9724536225239717
-0.38525662138789468214;0.31871199487434476172;0;-7235.47514501884325;-6383.3414411694138835;-7239.4281078371877811;-6382.0828546125176217
-0.40450849718747367012;0.29389262614623662406;0;-7597.0431521851442085;-6702.3269946661475842;-7601.1965633893842096;-6700.9989376200364859
-0.42216396275100753765;0.26791339748949832833;0;-7928.6291007886475199;-6994.8615255168788281;-7932.9570513577264137;-6993.4621619181234564
-0.43815334002193179197;0.24087683705085760622;0;-8228.9243725774249469;-7259.7905335746436322;-8233.3997090889442916;-7258.3189937014612951
-0.45241352623300978841;0.21288964578253624649;0;-8496.743839305569054;-7496.0684650792081811;-8501.3394294492882182;-7494.5254146050938289
